"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Sex","Total - Highest certificate, diploma or degree (2016 counts)","No certificate, diploma or degree (2016 counts)","Secondary (high) school diploma or equivalency certificate (2016 counts)","Apprenticeship or trades certificate or diploma (2016 counts)","College, CEGEP or other non-university certificate or diploma (2016 counts)","University certificate or diploma below bachelor level (2016 counts)","University certificate, diploma or degree at bachelor level or above (2016 counts)","Total - Highest certificate, diploma or degree (% distribution 2016)","No certificate, diploma or degree (% distribution 2016)","Secondary (high) school diploma or equivalency certificate (% distribution 2016)","Apprenticeship or trades certificate or diploma (% distribution 2016)","College, CEGEP or other non-university certificate or diploma (% distribution 2016)","University certificate or diploma below bachelor level (% distribution 2016)","University certificate, diploma or degree at bachelor level or above (% distribution 2016)"
"01","Canada","5.1","20000","All ages, 15-plus","Both sexes","28643015","5239580","7576400","2800265","5553830","813335","6659620","100","18.3","26.5","9.8","19.4","2.8","23.3"
"01","Canada","5.1","20000","All ages, 15-plus","Male","13990430","2667995","3686630","1906610","2326940","331940","3070320","100","19.1","26.4","13.6","16.6","2.4","21.9"
"01","Canada","5.1","20000","All ages, 15-plus","Female","14652585","2571585","3889765","893650","3226885","481395","3589300","100","17.6","26.5","6.1","22","3.3","24.5"
"01","Canada","5.1","20000","25 to 64","Both sexes","18931385","2169795","4494590","2042425","4241985","580885","5401710","100","11.5","23.7","10.8","22.4","3.1","28.5"
"01","Canada","5.1","20000","25 to 64","Male","9268560","1200105","2247020","1377775","1786065","240040","2417550","100","12.9","24.2","14.9","19.3","2.6","26.1"
"01","Canada","5.1","20000","25 to 64","Female","9662825","969685","2247565","664655","2455920","340850","2984155","100","10","23.3","6.9","25.4","3.5","30.9"
"01","Canada","5.1","20000","25 to 34","Both sexes","4576575","398475","1007695","457755","987585","125480","1599585","100","8.7","22","10","21.6","2.7","35"
"01","Canada","5.1","20000","25 to 34","Male","2264965","235565","573790","312840","432175","52135","658455","100","10.4","25.3","13.8","19.1","2.3","29.1"
"01","Canada","5.1","20000","25 to 34","Female","2311610","162905","433905","144915","555410","73350","941135","100","7","18.8","6.3","24","3.2","40.7"
"01","Canada","5.1","20000","35 to 44","Both sexes","4507775","395425","926885","467345","1065970","145130","1507020","100","8.8","20.6","10.4","23.6","3.2","33.4"
"01","Canada","5.1","20000","35 to 44","Male","2195070","225525","502430","310500","454280","59950","642380","100","10.3","22.9","14.1","20.7","2.7","29.3"
"01","Canada","5.1","20000","35 to 44","Female","2312700","169900","424450","156845","611690","85175","864640","100","7.3","18.4","6.8","26.4","3.7","37.4"
"01","Canada","5.1","20000","45 to 54","Both sexes","4991975","588625","1196545","558970","1175555","160900","1311380","100","11.8","24","11.2","23.5","3.2","26.3"
"01","Canada","5.1","20000","45 to 54","Male","2442660","327465","578810","366765","482570","65535","621510","100","13.4","23.7","15","19.8","2.7","25.4"
"01","Canada","5.1","20000","45 to 54","Female","2549315","261160","617735","192210","692990","95360","689870","100","10.2","24.2","7.5","27.2","3.7","27.1"
"01","Canada","5.1","20000","55 to 64","Both sexes","4855055","787270","1363455","558355","1012875","149370","983725","100","16.2","28.1","11.5","20.9","3.1","20.3"
"01","Canada","5.1","20000","55 to 64","Male","2365860","411550","591990","387665","417040","62410","495210","100","17.4","25","16.4","17.6","2.6","20.9"
"01","Canada","5.1","20000","55 to 64","Female","2489200","375730","771475","170690","595835","86965","488515","100","15.1","31","6.9","23.9","3.5","19.6"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Both sexes","437935","102665","109480","49435","101250","10400","64700","100","23.4","25","11.3","23.1","2.4","14.8"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Male","212780","51170","50205","36325","42910","4275","27900","100","24","23.6","17.1","20.2","2","13.1"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Female","225155","51495","59275","13110","58345","6125","36800","100","22.9","26.3","5.8","25.9","2.7","16.3"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Both sexes","287880","45175","65210","36075","81955","6675","52790","100","15.7","22.7","12.5","28.5","2.3","18.3"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Male","139650","23970","30300","26475","34175","2965","21755","100","17.2","21.7","19","24.5","2.1","15.6"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Female","148230","21205","34910","9605","47780","3710","31030","100","14.3","23.6","6.5","32.2","2.5","20.9"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Both sexes","57420","4585","12790","7135","15935","1265","15715","100","8","22.3","12.4","27.8","2.2","27.4"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Male","27950","2615","6440","5420","7030","645","5800","100","9.4","23","19.4","25.2","2.3","20.8"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Female","29470","1970","6345","1720","8910","620","9910","100","6.7","21.5","5.8","30.2","2.1","33.6"
"10","Newfoundland and Labrador","6.8","00000","35 to 44","Both sexes","65035","6615","13250","7405","21265","1490","15005","100","10.2","20.4","11.4","32.7","2.3","23.1"
"10","Newfoundland and Labrador","6.8","00000","35 to 44","Male","31400","3895","6425","5600","8905","670","5900","100","12.4","20.5","17.8","28.4","2.1","18.8"
"10","Newfoundland and Labrador","6.8","00000","35 to 44","Female","33635","2715","6830","1810","12360","820","9095","100","8.1","20.3","5.4","36.7","2.4","27"
"10","Newfoundland and Labrador","6.8","00000","45 to 54","Both sexes","80935","13950","17530","10475","24730","1835","12410","100","17.2","21.7","12.9","30.6","2.3","15.3"
"10","Newfoundland and Labrador","6.8","00000","45 to 54","Male","39200","7610","7990","7490","10075","780","5250","100","19.4","20.4","19.1","25.7","2","13.4"
"10","Newfoundland and Labrador","6.8","00000","45 to 54","Female","41735","6335","9535","2980","14655","1065","7160","100","15.2","22.8","7.1","35.1","2.6","17.2"
"10","Newfoundland and Labrador","6.8","00000","55 to 64","Both sexes","84495","20020","21640","11060","20020","2085","9665","100","23.7","25.6","13.1","23.7","2.5","11.4"
"10","Newfoundland and Labrador","6.8","00000","55 to 64","Male","41100","9845","9445","7965","8170","875","4805","100","24","23","19.4","19.9","2.1","11.7"
"10","Newfoundland and Labrador","6.8","00000","55 to 64","Female","43385","10175","12195","3095","11855","1205","4860","100","23.5","28.1","7.1","27.3","2.8","11.2"
"11","Prince Edward Island","5.6","00000","All ages, 15-plus","Both sexes","117055","22425","31810","9480","27860","3065","22410","100","19.2","27.2","8.1","23.8","2.6","19.1"
"11","Prince Edward Island","5.6","00000","All ages, 15-plus","Male","56365","12550","16055","6690","10700","1055","9320","100","22.3","28.5","11.9","19","1.9","16.5"
"11","Prince Edward Island","5.6","00000","All ages, 15-plus","Female","60690","9875","15765","2790","17160","2015","13090","100","16.3","26","4.6","28.3","3.3","21.6"
"11","Prince Edward Island","5.6","00000","25 to 64","Both sexes","74315","8950","18665","6255","20975","1860","17610","100","12","25.1","8.4","28.2","2.5","23.7"
"11","Prince Edward Island","5.6","00000","25 to 64","Male","35620","5550","9735","4445","8235","720","6935","100","15.6","27.3","12.5","23.1","2","19.5"
"11","Prince Edward Island","5.6","00000","25 to 64","Female","38695","3405","8935","1810","12740","1140","10675","100","8.8","23.1","4.7","32.9","2.9","27.6"
"11","Prince Edward Island","5.6","00000","25 to 34","Both sexes","15145","1000","4025","845","4005","260","5020","100","6.6","26.6","5.6","26.4","1.7","33.1"
"11","Prince Edward Island","5.6","00000","25 to 34","Male","7370","590","2450","600","1685","105","1945","100","8","33.2","8.1","22.9","1.4","26.4"
"11","Prince Edward Island","5.6","00000","25 to 34","Female","7775","405","1575","245","2320","155","3075","100","5.2","20.3","3.2","29.8","2","39.5"
"11","Prince Edward Island","5.6","00000","35 to 44","Both sexes","16830","1275","3890","1155","5505","420","4580","100","7.6","23.1","6.9","32.7","2.5","27.2"
"11","Prince Edward Island","5.6","00000","35 to 44","Male","7890","830","2070","775","2405","215","1590","100","10.5","26.2","9.8","30.5","2.7","20.2"
"11","Prince Edward Island","5.6","00000","35 to 44","Female","8940","445","1820","380","3100","210","2980","100","5","20.4","4.3","34.7","2.3","33.3"
"11","Prince Edward Island","5.6","00000","45 to 54","Both sexes","20585","2700","5050","1865","6010","525","4435","100","13.1","24.5","9.1","29.2","2.6","21.5"
"11","Prince Edward Island","5.6","00000","45 to 54","Male","9995","1810","2565","1335","2280","175","1830","100","18.1","25.7","13.4","22.8","1.8","18.3"
"11","Prince Edward Island","5.6","00000","45 to 54","Female","10585","895","2485","525","3730","345","2605","100","8.5","23.5","5","35.2","3.3","24.6"
"11","Prince Edward Island","5.6","00000","55 to 64","Both sexes","21760","3970","5705","2390","5450","650","3580","100","18.2","26.2","11","25","3","16.5"
"11","Prince Edward Island","5.6","00000","55 to 64","Male","10360","2315","2650","1735","1865","225","1570","100","22.3","25.6","16.7","18","2.2","15.2"
"11","Prince Edward Island","5.6","00000","55 to 64","Female","11400","1655","3055","660","3590","430","2010","100","14.5","26.8","5.8","31.5","3.8","17.6"
"12","Nova Scotia","5.5","00000","All ages, 15-plus","Both sexes","774750","153705","195905","76810","168800","18385","161150","100","19.8","25.3","9.9","21.8","2.4","20.8"
"12","Nova Scotia","5.5","00000","All ages, 15-plus","Male","372455","79880","95205","54075","67030","6970","69290","100","21.4","25.6","14.5","18","1.9","18.6"
"12","Nova Scotia","5.5","00000","All ages, 15-plus","Female","402295","73825","100695","22735","101775","11410","91860","100","18.4","25","5.7","25.3","2.8","22.8"
"12","Nova Scotia","5.5","00000","25 to 64","Both sexes","494510","60280","116280","52375","128010","11595","125970","100","12.2","23.5","10.6","25.9","2.3","25.5"
"12","Nova Scotia","5.5","00000","25 to 64","Male","237795","34820","57600","37255","51890","4325","51905","100","14.6","24.2","15.7","21.8","1.8","21.8"
"12","Nova Scotia","5.5","00000","25 to 64","Female","256710","25460","58680","15115","76120","7275","74065","100","9.9","22.9","5.9","29.7","2.8","28.9"
"12","Nova Scotia","5.5","00000","25 to 34","Both sexes","104665","7730","25715","8205","25990","1775","35245","100","7.4","24.6","7.8","24.8","1.7","33.7"
"12","Nova Scotia","5.5","00000","25 to 34","Male","50930","4845","14595","5850","11285","750","13605","100","9.5","28.7","11.5","22.2","1.5","26.7"
"12","Nova Scotia","5.5","00000","25 to 34","Female","53730","2885","11125","2360","14705","1025","21635","100","5.4","20.7","4.4","27.4","1.9","40.3"
"12","Nova Scotia","5.5","00000","35 to 44","Both sexes","108295","8835","23750","9600","30525","2155","33425","100","8.2","21.9","8.9","28.2","2","30.9"
"12","Nova Scotia","5.5","00000","35 to 44","Male","51300","5420","12850","6675","12680","840","12830","100","10.6","25","13","24.7","1.6","25"
"12","Nova Scotia","5.5","00000","35 to 44","Female","57000","3420","10905","2925","17840","1315","20595","100","6","19.1","5.1","31.3","2.3","36.1"
"12","Nova Scotia","5.5","00000","45 to 54","Both sexes","136475","17775","30735","16265","37730","3535","30440","100","13","22.5","11.9","27.6","2.6","22.3"
"12","Nova Scotia","5.5","00000","45 to 54","Male","65670","10545","14425","11400","14785","1300","13220","100","16.1","22","17.4","22.5","2","20.1"
"12","Nova Scotia","5.5","00000","45 to 54","Female","70805","7235","16305","4865","22945","2235","17225","100","10.2","23","6.9","32.4","3.2","24.3"
"12","Nova Scotia","5.5","00000","55 to 64","Both sexes","145075","25940","36075","18300","33765","4130","26860","100","17.9","24.9","12.6","23.3","2.8","18.5"
"12","Nova Scotia","5.5","00000","55 to 64","Male","69895","14015","15730","13330","13140","1435","12250","100","20.1","22.5","19.1","18.8","2.1","17.5"
"12","Nova Scotia","5.5","00000","55 to 64","Female","75180","11925","20345","4970","20630","2700","14615","100","15.9","27.1","6.6","27.4","3.6","19.4"
"13","New Brunswick","4.9","00000","All ages, 15-plus","Both sexes","620395","136745","176750","56595","135060","11615","103630","100","22","28.5","9.1","21.8","1.9","16.7"
"13","New Brunswick","4.9","00000","All ages, 15-plus","Male","301650","71600","85345","39965","56055","3990","44685","100","23.7","28.3","13.2","18.6","1.3","14.8"
"13","New Brunswick","4.9","00000","All ages, 15-plus","Female","318745","65145","91405","16635","79000","7620","58945","100","20.4","28.7","5.2","24.8","2.4","18.5"
"13","New Brunswick","4.9","00000","25 to 64","Both sexes","400785","55640","114330","37710","104595","7680","80820","100","13.9","28.5","9.4","26.1","1.9","20.2"
"13","New Brunswick","4.9","00000","25 to 64","Male","194710","32390","56430","26335","43700","2665","33200","100","16.6","29","13.5","22.4","1.4","17.1"
"13","New Brunswick","4.9","00000","25 to 64","Female","206075","23255","57900","11375","60895","5020","47625","100","11.3","28.1","5.5","29.5","2.4","23.1"
"13","New Brunswick","4.9","00000","25 to 34","Both sexes","79865","6320","22020","6150","22800","975","21600","100","7.9","27.6","7.7","28.5","1.2","27"
"13","New Brunswick","4.9","00000","25 to 34","Male","39175","3895","12840","4130","9960","395","7955","100","9.9","32.8","10.5","25.4","1","20.3"
"13","New Brunswick","4.9","00000","25 to 34","Female","40695","2430","9180","2020","12840","575","13645","100","6","22.6","5","31.6","1.4","33.5"
"13","New Brunswick","4.9","00000","35 to 44","Both sexes","91920","7790","23750","7265","28640","1700","22775","100","8.5","25.8","7.9","31.2","1.8","24.8"
"13","New Brunswick","4.9","00000","35 to 44","Male","44735","4990","12890","5090","12335","650","8775","100","11.2","28.8","11.4","27.6","1.5","19.6"
"13","New Brunswick","4.9","00000","35 to 44","Female","47185","2800","10855","2175","16305","1050","13995","100","5.9","23","4.6","34.6","2.2","29.7"
"13","New Brunswick","4.9","00000","45 to 54","Both sexes","111000","15870","32280","11170","28710","2470","20505","100","14.3","29.1","10.1","25.9","2.2","18.5"
"13","New Brunswick","4.9","00000","45 to 54","Male","53620","9530","15320","7545","11595","745","8885","100","17.8","28.6","14.1","21.6","1.4","16.6"
"13","New Brunswick","4.9","00000","45 to 54","Female","57375","6335","16960","3630","17110","1720","11620","100","11","29.6","6.3","29.8","3","20.3"
"13","New Brunswick","4.9","00000","55 to 64","Both sexes","118000","25655","36285","13125","24450","2535","15945","100","21.7","30.8","11.1","20.7","2.1","13.5"
"13","New Brunswick","4.9","00000","55 to 64","Male","57180","13965","15385","9575","9805","865","7575","100","24.4","26.9","16.7","17.1","1.5","13.2"
"13","New Brunswick","4.9","00000","55 to 64","Female","60820","11690","20905","3555","14640","1665","8365","100","19.2","34.4","5.8","24.1","2.7","13.8"
"24","Quebec","4.3","20000","All ages, 15-plus","Both sexes","6634280","1323070","1426980","1120730","1165515","236255","1361735","100","19.9","21.5","16.9","17.6","3.6","20.5"
"24","Quebec","4.3","20000","All ages, 15-plus","Male","3260040","674955","674825","681515","506770","93680","628295","100","20.7","20.7","20.9","15.5","2.9","19.3"
"24","Quebec","4.3","20000","All ages, 15-plus","Female","3374240","648110","752155","439215","658740","142575","733440","100","19.2","22.3","13","19.5","4.2","21.7"
"24","Quebec","4.3","20000","25 to 64","Both sexes","4371935","580635","808955","866595","832430","167025","1116300","100","13.3","18.5","19.8","19","3.8","25.5"
"24","Quebec","4.3","20000","25 to 64","Male","2167810","323880","396625","513580","367185","67530","499015","100","14.9","18.3","23.7","16.9","3.1","23"
"24","Quebec","4.3","20000","25 to 64","Female","2204125","256755","412330","353015","465245","99490","617290","100","11.6","18.7","16","21.1","4.5","28"
"24","Quebec","4.3","20000","25 to 34","Both sexes","1005165","105635","145575","210715","191435","31175","320635","100","10.5","14.5","21","19","3.1","31.9"
"24","Quebec","4.3","20000","25 to 34","Male","499825","65410","81515","128180","83535","11980","129210","100","13.1","16.3","25.6","16.7","2.4","25.9"
"24","Quebec","4.3","20000","25 to 34","Female","505345","40225","64065","82535","107900","19195","191430","100","8","12.7","16.3","21.4","3.8","37.9"
"24","Quebec","4.3","20000","35 to 44","Both sexes","1050950","104290","146730","213730","216170","43305","326725","100","9.9","14","20.3","20.6","4.1","31.1"
"24","Quebec","4.3","20000","35 to 44","Male","522505","61410","80575","125995","97685","17525","139320","100","11.8","15.4","24.1","18.7","3.4","26.7"
"24","Quebec","4.3","20000","35 to 44","Female","528445","42880","66155","87735","118485","25780","187405","100","8.1","12.5","16.6","22.4","4.9","35.5"
"24","Quebec","4.3","20000","45 to 54","Both sexes","1129750","152210","211305","231895","225585","45300","263455","100","13.5","18.7","20.5","20","4","23.3"
"24","Quebec","4.3","20000","45 to 54","Male","562235","84280","102335","132795","99090","18615","125125","100","15","18.2","23.6","17.6","3.3","22.3"
"24","Quebec","4.3","20000","45 to 54","Female","567515","67925","108975","99095","126495","26690","138330","100","12","19.2","17.5","22.3","4.7","24.4"
"24","Quebec","4.3","20000","55 to 64","Both sexes","1186075","218500","305345","210255","199240","47240","205490","100","18.4","25.7","17.7","16.8","4","17.3"
"24","Quebec","4.3","20000","55 to 64","Male","583245","112780","132210","126605","86875","19410","105365","100","19.3","22.7","21.7","14.9","3.3","18.1"
"24","Quebec","4.3","20000","55 to 64","Female","602830","105715","173140","83655","112365","27830","100120","100","17.5","28.7","13.9","18.6","4.6","16.6"
"35","Ontario","4.6","20000","All ages, 15-plus","Both sexes","11038440","1935355","3026095","664175","2298715","242005","2872090","100","17.5","27.4","6","20.8","2.2","26"
"35","Ontario","4.6","20000","All ages, 15-plus","Male","5342755","961685","1485320","471055","981780","107065","1335845","100","18","27.8","8.8","18.4","2","25"
"35","Ontario","4.6","20000","All ages, 15-plus","Female","5695680","973670","1540770","193120","1316930","134940","1536245","100","17.1","27.1","3.4","23.1","2.4","27"
"35","Ontario","4.6","20000","25 to 64","Both sexes","7229120","752995","1768955","446390","1782530","170925","2307315","100","10.4","24.5","6.2","24.7","2.4","31.9"
"35","Ontario","4.6","20000","25 to 64","Male","3498620","404770","895020","315975","762500","75940","1044420","100","11.6","25.6","9","21.8","2.2","29.9"
"35","Ontario","4.6","20000","25 to 64","Female","3730500","348225","873935","130420","1020030","94995","1262895","100","9.3","23.4","3.5","27.3","2.5","33.9"
"35","Ontario","4.6","20000","25 to 34","Both sexes","1727995","132375","377025","80430","427680","35355","675125","100","7.7","21.8","4.7","24.8","2","39.1"
"35","Ontario","4.6","20000","25 to 34","Male","848120","76690","221190","57880","194880","16090","281395","100","9","26.1","6.8","23","1.9","33.2"
"35","Ontario","4.6","20000","25 to 34","Female","879875","55685","155840","22550","232805","19265","393730","100","6.3","17.7","2.6","26.5","2.2","44.7"
"35","Ontario","4.6","20000","35 to 44","Both sexes","1703455","135315","367680","92440","438830","41855","627335","100","7.9","21.6","5.4","25.8","2.5","36.8"
"35","Ontario","4.6","20000","35 to 44","Male","813040","74185","200580","63780","187215","17645","269630","100","9.1","24.7","7.8","23","2.2","33.2"
